serial,text,sentiment
19,"Jake sully integrated into whole Na'vi culture just to become classic patriarch military
American dad? Neytiri was not in the picture until the end of the movie she is just
agreeing with stuff. Also why all of a sudden everyone speaks English? All teenagers kept
saying bro all the time to an annoying level. Hated the plot. They should have looked
more into native cultures to make it less white culture, Visuals being good is not an
excuse for plot to be this sucky. They didn't even bother with creative villain position and
motivation. I also expected Kate Winslet's role to be bigger to train such extreme levels
to hold her breath underwater.
",negative
20,"But boring AF. It simply is a Mark 2 version if the first movie.

We watched with our kids (and just for the kids) Not even an hour into the movie, I
grabbed my mobile phone and was doing something else. It didn't feel like I was missing

something
",negative
21,"How terrible is your imagination to make such a boring action movie? :))))..... why over 2
hours? For what ? Dialogue, texts even a 12 years child could do it better... i saw
cartoons with better communication, this movie is for young 14 years old girls... who still
wants to believe in blue skin :))))... bed time stories... After 1 hour the movie it's still
boring... why ??? Most of the images are just copy paste from the first movie ... that's
the last avatar movie for me ... can't believe you are going to do 2 more ... same
bullsh..t like the family in fast and f..ed :)}) 0 imagination, 0 creativity, Overload boring...
be honest did you copied all texts from 10 movies and you made this movie on a toilet
break?

 
",positive
22,"Visually? Beautiful. But thirty minutes of that is enough. Watch 30 minutes, walk away,
you'll love it.

Honestly it is very easy to cut the runtime in half. The amount of loose ends, meaningless
arches and the absolutely unempathetic characters (new and old) turned a bad movie
into a torture for the last 60 minutes
",negative
23,"Iam 36 years old and for the first time in my whole life 1 was thinking of leaving the
theater after two hours of this completely empty visual spectacle...

My wife wanted to finish it, so we did. And we both regret it.
",negative
24,"Two stars only because producers spent a budget equivalent to GDP of a small country on
the visuals. Zero plot, no character development, no emotions, killer of a length, money
wasted. Also, it's so conventional and conservative aka no deviation from traditional
values, and even those and butchered by Jake and his partner. Thought that we were
done with white male saviour image but alas James Cameron definitely loves this one. Re
visuals - yes, quite impressive but hurts your eyes during fast action scenes. Do not
recommend, spend your time and money watching Moana and Titanic, much better value.
",positive
25,"After 10 mins of watching the special effects this movie is just boring - even then the
special effects are so over engined it feels fake and I wonder why they used actors at
all....it has barely a plot/ Storyline it was like a book for 2 year olds especially not one
that can sustain 3 hours of entertainment. What is there is hackneyed and repetitive.
",positive
26,"13 years and in the end all we got was a national geographic lesson?

Poorly told story. The writers seemed to have forgotten the plot behind the reincarnation
of the already vanquished general. The explanation of their existence to defeat Jake Sully

makes no sense
",negative
27,"Yes. The film overall sucked and is almost nothing like the first one and I mean the magic
and the soul, is just gone!

To keep things short, my overall Avatar rating as compared to what I look for in a good
film
",positive
28,"195 minutes of boredom. The animals carried this movie more than the characters. Why
did the generals son suddenly start showing the general the way of the avatar. Why
would they go through all that trouble to become avatars if you were not going to use it

to your advantage.
",negative
29,"The Blue conservatives fear any change. They don't have any sustainable economy, and
depend on parasitical cargo culture. When the different races of blue people fight against
each other, they switch to talking in English. All the races of blue people seem to share
the same strange embarrassment and shame about nipples. This installment introduces

implausibly miscegenetic half breeds. Presumably intended as an opportunity to lecture
on metis oppression.
",negative
30,"The art from the original Dances With Smurfs has been recycled successfully. No budget
was wasted on any pretense of plot. It's jam packed with maximum nonsense, just as set

ups for morality lessons. Lessons such as: ignore evidence based medicine, depend only
on prayer and acupuncture.
",negative
31,"Effects are well done. But it feels like a computer game. The effects did not blow me
away like when the first movie came out. Nothing really inventive has been done.

Boring as hell

Thin dialogues and characters. Predictable.
",negative
32,"I drove my 2004 Nissan Altima to this movie with the expectations that it would distract
me from my chronic mental deterioration. I however gained a few extra disorders. This
movie was so painful my open heart operation where I was given to little anaesthesia and
was accidentally stil conscious was a better experience. This movie is like going on a walk
with your weird uncle. You expect it to be fun and short. But it is long and traumatizing. 1
rather watch the top ten live leak decapitations than watch this horrendous pile of story
less death of a franchise dog doodoo. I watched a small child write a story about a dog. It
was written in crayon on a post it note but stil however had a better story line than this
movie, The last time I was this dissatisfied is when I went to a brothel in Vietnam and
found out there where to swords in this fight. This movie made me so mad I felt like
remaking a scene from the Jeffrey dahmer documentary. Long story short if you want to
flee the country without your kids leave them at this horrendously boring and stale movie
and drive to Mexico.
",negative
33,"If you like a movie in which a psychopath with an army chases down a defenceless family
of mostly kids then this is the film for you. There's nothing more to it than that, really, no
subtlety, no nuance, just a giant sledgehammer of a plot surrounded by pretty looking
scenery.
",negative
34,"Loved the visuals, especially the underwater scenes as these were awesome in 3D
(definitely see it in 3D for this alone) but hated the crappy ‘Family’ plot. I get that this is
supposed to be a family friendly movie but it was a Vomitfest throughout! Zero plot
unless you call repeatedly saving your brats plot. It was so bad I'm doubtful I'll even
bother with the remaining episodes of this ‘franchise’. I just can't face the nauseating
Brat Family again for another Vomitfest session... It really was dire! Cameron seems to
have thrown the plot to the wolves with this movie. Not recommended except to see the
CGI visuals! I expected so much more but this? Just sad! Disappointing and sad! Visually
stunning but the plot is SO Crap!
",negative
35,"While the level of animation and some of the creature desings are undoubtedly
spectacular, this film lacks any sort of story arch or character development to let the
viewer become invested. Being inundated non-stop by a bewildering amount of
exaggerated action sequences for more than three extremely long hours only leaves the
audience emotionally detached, if not feeling empty, It is nothing but a sensory overload.
I might as well have watched a Marvel franchise backwards... or Titanic for the millionth
time! Perhaps it could make for a lovely screensaver. Otherwise it is an utter waste of
time
",positive
36,"It has been a really long time that I have considered walking out of a movie. There are
stunning scenes and it is well acted, but... - where is the story? And what story there Is:
what is different to Avatar, part 177? Great creatures and scenery, but do we really need
2 hours of fighting and conflict...and pretty much more of the same? I don't think I will
be back for parts 3, 4 and so on!
",positive
37,"And something really minor: what is it wit the director and water - Abyss and Titanic
send their greetings; and if it is about quality of sequels can we talk Terminator (parts 1
and 2)?
",positive
38,"It just sounds like out of an Teenage-Highschool-Movie instead of a film made for its
actual target group (mid. 20s, that watched Part 1 - 13 years ago).

I didn't like the movie at all and I am very disappointed by what modern movies seem to
become... cashcows with 1h showdowns, that are so boring and repetitive, you start
falling asleep.
",negative
39,"Storytelling is very poor and almost the same, as in the first movie. The movie seems like
written by an AI. More fighting scenes than lore.

Also translations are very bad because ""bro"", ""dad"" and ""buddy"" are no authentic words,
for a spiritual species living on an other planet
",negative
40,"As one of the biggest grossing films ever, the franchise seems all about making an ""easy""
buck, but it's all been done before and lets hope the general public start investing in real
stories with real emotion soon
",positive
41,"Technically the film was well made and especially underwater the 3D effects were very
nice, but that was it for me.

For me the glorification of the military/marine and weapons were particularly annoying,
with the lesson for the audience that you can only win with violence.
",negative
42,"The plot from Avatar 1 is repeated with a few Titanic scenes. Furthermore, the children
had to be saved nearly four times...

It was not worth the money, it was restless in the cinema because many people were

watching the clock, there was no suspense and there were also illogical elements in the
film.
",negative
43,"Also the family life is marked by military drill all obey the father Jack Sully, the children
call him sir and the wife is sometimes forbidden to speak, she is more like a practical
soldier for him.
",negative
44,"I should say I saw it in an IMAX, it looked OK but Dune did far more imaginative stuff
creating an alien world.
",positive
45,"Animated kids cartoon movie, no strong story, old and weak script serve with hight ticket
rate to make public fool, seems we are watching NGC channal in animated form,
extended long movies without any sense.if the film will earn money no suprise due to
advertising and false scripted promotion. I wasted my INR1000 IN IMAX 3D, but you
guys can be lucky to save your time and money. No much 3D effects, nothing is reality,
all are graphics and computer work, nothing suprise in this movies, director tried incash
the popularity of the 1st part. Not upto expectations. Feels like cheap quality Chinese
movie watching in high rate.
",positive
46,"As others have wrote, I am not sure anyone cares about Jake Sully and his family as
much as James Cameron thinks they do. I have never really understood the fascination
with Avatar, so I had no expectations going in to seeing this. The visuals many people are
impressed by felt like watching 3 hour intro to a computer game, while the story and
dialogue makes for a paper-thin and painfully boring story that is predictable, shallow
and clearly lacks character development
",negative
47,"Colossal disappointment here. I can't believe a 3.2 hour movie had such dull and puerile
dialogue. The middle hour of whales and teenage dullards had me wanting to open a
book till it was over. He still does the action stuff brilliantly but the finale was strangely
lacklustre. The music was cliched and the noble savage sentimentality was grating
Overall worst was the teenagers ""bro"". The convoluted heavy lifting of the exposition to
get the returning characters back was weird and clumsy.
",negative
48,"They clearly decided that it was a good idea to hire a bunch of national geographic nature
documentary makers and spend the rest of the money in special effects, instead of

investing even a little bit into a well thought script, or even a good music to accompany
the movie.
",positive
49,"I am heartbroken by this movie, because the first one is a big part of my childhood, and
this one is so bad that I will never look at the first one the same way.
",negative
50,"It's just sad that we had to wait 10 years for a movie that was clearly written by a gang
of Disney Channel writers. There is the argument that the special effects are awesome,
which they are but it doesn't justify the awfulness of this storyline
",positive
51,"This is the first film after which I felt I had to write a review to confirm how bad it is.
Visually stunning of course, but it's like watching a nature film, which I'm not that
interested in, given that it's about a fictional world. The story was dumb, predictable and
full of plot holes. Jake Sully and his family reminded me of the ""7th Heaven"" TV series (I
wanted to write ""This is Us"", but I don't want to mislead anyone that Avatar 2 would be
on the same level): portrayal of a strong family with minor and major dramas, filled with
moral lessons, but for some reason the protagonist of Avatar makes irrational decisions. I
didn't care about the fate of the characters, I wasn't moved at all and if they had 2 hours
more screen time, it wouldn't change. Beautiful film, but most boring film of my life.
",negative
52,"Felt like a copy paste of the first movie which is 13 years old now. They did not learn
anything in those 13 years except that if they call a movie Avatar it will make them way
too much money. I'm actually upset I watched this movie. They got me. There is not
much more to say. This review has a minimum length? Super odd. All I can say is itis a
waste of time. The only reason to put this on is for background noise and even then
probably not a good idea because of loud sequences. I need 100 more characters. I did
not enjoy this movie. It put me to sleep. It was the same as the first movie, seriously.
",negative
53,"Visually, CGI stunning; plot wise, wakey-wokey. Overly long by a full hour; pretentious in
setting. As with most if not all sequels, the original was better, but that isn't saying much
as the first version was just like this; ""second verse, same as the first"". If you saw the
first version, then you've already seen everything you need to know about this one. Yes,
I'm repeating myself as there isn't any reason to go see this one, much less for it to even
exist. If you want to sleep for three hours in a comfy chair, stay home where you can get
your own snacks without having to pay an arm and a leg. Have I made my self clear;
AVOID LIKE THE COVID PLAGUE.
",positive
54,"Were excited initially but after watching it, to come out of boredom , Had to watch Avatar
Lagain !!

Way of water Looks pretty but captivating it is not.
1. Script was missing. Story was a drag.

2. Fascination of the commander with Jack Sully. This was the most awful though te bring
down the whole movie from 10 stars to less than three stars. If there had a slightly less
predictable story line or any attempt at making the characters have depth and charisma
this movie could of been something for me. But it didn't and therefore makes the 3 hours
drag on and on

3. Over hyped 13 years waiting and a story that could of been covered in an hour. Good
that I didn't watch in premier Theaters (Saved some money) 4. There will be another
Avatar next, again with the same lame story of fascination of commander with Jack and
both their kids would join their fathers as well . It is easily predictable how movie ended
and its a Cliché I!
",positive
55,"Same as the first movie, just water version. I've seen one movie in my life that was
longer (7 years in Tibet), and that movie was good. This movie on the other hand, I was
ready to leave 30 minutes in. The cultural appropriation is appalling in my opinion.
",positive
56,"Unpopular opinion: Without even talking about the problems surrounding a rich old white
guy trying to tell a story about colonialism and the attempted genocide of Indigenous
peoples, I found this movie to be straight up BORING and so very tedious. So much so,
that even the visual effects didn't really impress me. Sure, they were objectively
stunning, but there was very little in the story or the characters to engage or connect me
with the setting. As other commenters have said, I was shocked that this was over a
decade in the making
",positive
57,"The plot was very predictable. The action was cheesy at best. I'm very surprised this is
even a James Cameron flick, Just a total let down from beginning to end. Has CGI run its
course yet ? I would have been pleasantly surprised by some real sets and soundstage

work. I'm sure this movie cost millions to make but it's not worth the price of your ticket.
Waste of time.
",positive
58,"I dont know if I can even finish this movie..... Went into it with an open mind, didnt
heard much about it except it was good. And since Avatar 1 was so good this must be
good then too... Well its not. Even the story doesnt get me yet.... Like another reviewer
wrote, dialogs are written by a child. Probably he is right lol.
",positive
59,"Loved Avatar but with this one.... From moment one I felt like I was watching some kind
of cartoon! Is this the new CGI or something? Either way its ugly! Same like that new
GoT series, most expensive serie but it looks so much worse than the old GoT. Avatar is
the same! At one point they even cartoonized humans in some scenes, a green screen
was too much work or so?
",negative
60,"The story was moderately original this time but the characters were so unlikeable
including Jake sully who just came off as unbearable jerk. I gave the film 2 stars as the
only character who wasn't cocky, arrogant or annoying was Sigourney weavers kiri, she
had a pretty decent subplot and was one of the only characters I liked.
",positive
61,"I personally really enjoyed avatar (2009), whilst the story wasn't the most original, it
made up for it with a good cast and great VFX. This movie is a stain on that movie and
James Cameron's career as a whole.
",positive
62,"Old villain reenters as though no one else can play a villain or the bad guy. Same old
people with forced charcters as though someone needs a promotion so a designation is
created.

The thing appreciable is computer graphics animations and VFX effects. I was excited for
this installment but it has left me high and dry for the next one it is happens.
",negative
63,"It is just one beautiful, expensive exercise in CGI. Hopefully, in Avatar 3, the ""Sky
People"" will hire one truly gifted military tactician, who will bring approximately 300
kilograms of the neurotoxin Botulinum Toxin (or its Pandora equivalent), exterminate all

life on Pandora during the first 5 minutes of the movie, and happily extract Unobtainium
and Amrita for the remaining 85 minutes.

 
",positive
64,"The action scenes are way too fast, like the audience is supposed to have the attention
span of a haddock, Throughout the movie the special effects were laughably low-quality,
it felt like I was watching a cutscene for a cheap xbox 360 game.
",positive
65,"I'm writing this review, while the movie is still running at 1.5 speed at my home theater.
In essence I've watched the whole movie mostly at 1.5 speed, and during the annoyingly
protracted action scenes, at 2.0, even 2.5 speed. This should tell you how incredibly dull
and unengaging is this sequel. I feel very sorry for the people who went to the IMAX
Cineplex, where they didn't have the luxury of increasing the playback speed. Full three
hours Chinese water torture - that's The Way Of The Water! :-D
",negative
66,"T'm waiting now for the end credits, because I'm pretty sure the music will be good. Wish
me luck.
",positive
67,"What a manual and steps to survive on Pandora. We learned to live in jungle and now in
the water. We have got introductions with major flora and fauna of Pandora.

So many questions left unanswered. 2 hours of family drama and whole of the Pandora
sepaking in English. People on Pandora are primitive and yet so much advanced.
",positive
68,"I would like my moneh back for this festival of unoriginality (if that's even a word). It's
nightmarishly stupid, the story lacks any kind of subtlety and is as foreseeable as it gets
The brutally one-dimensional characters are forced into unnecessary conflicts based on
the flimsiest of reasons. Sure, it is sometimes nice to look at but not worth spending
three hours of absolute boredom. I was really hoping for James Cameron to land another
hit but this was as bad a movie as it gets and he should be ashamed of himself. The one
actress who carried large parts of the first movie was sidelined, the pacing is terrible and
I can see barely anything redeemable about this trash film. Let me know when James
Cameron has an original idea again, until then, I won't watch.
",negative
69,"The film is over rated! James Cameron needs to realise that the movie industry's has
changed drastically since the last Avatar film. Avatar 2 is visually ok, nothing spectacular.
Story line is awfully weak. All that time and money wasted on visuals, when in fact
should have concentrated on building characters and the story...Dune is a much better
example of this, where story, world and characters come together perfectly.
",positive
70,"At least the visuals were good, but this is just once again proof that if the story is empty
so will your memory be of this film. Come on Cameron you could have done better !

I don't wish to go into details but this film follows the Hollywood garbage strategy to
recycle and remake, such a shame for this film and that Cameron had to go down this
path.
",negative
71,"This was a long and boring film that relied too heavily on looking good without any depth
to the story. Frankly the main plot felt more suited to a side story which focused on
humans ‘calming the natives’ to exploit resources, but it actually was more about
revenge between the old general from this first Avatar and Jake Sully the rogue soldier.
During the film I did start to wonder whether the sky people's (aka humans) military
would be happy with pouring this amount of funding inte killing one rogue soldier.
Honestly I don't think they would, when they can just nuke everyone.
",negative
72,"I lost count of how many ""iconic"" scenes and characters from other films were ripped off,
(Mad Max, Star Wars, Jaws, Moana, Free Willy, Jurrasic Park to name a few).
",negative
73,"If they haven't had new ideas for Avatar 2, I cannot imagine what storyline, they want to
come up with for 3 and 4 which seem to be already planned.

In between there are some philosophical parts, but it doesn't help at all. It feels like
artifilcial sophistication.
",negative
74,"Visualy Stunning just like the first film, but cant see why it took so long to make a
sequal, its the same story, with weaker characters, the new charactrers lack substance,
the old characters are uninteresting.
",negative
75,"So, the dumbest thing they could have possibly have dones...they did within the
first few minutes of the movie. Not 1, not 2, but 3 completely unbelievable events.
They clone the Colonel in a avatar form...and he has a human son also on planet,
and Sigomey Weaver has a daughter, even though she is dead...Did i miss
anything. Is there anyone out there that actually liked this beginning?

I think the Colonel should have been the main character. He could have fallen in
love with Pandora just as Jake did and we could have seen that hey, everyone who
goes to this planet gets changed. But no, they just wanted a generic bad guy and
nething more. An old rival. But the problem with this is there are already plenty of
people that think like this, we even saw them on screen, but they are only shown
once and never again. The movie actually started off following the Colonel after
being resurrected, and we think thats where the movie is heading but it was just
for one shot then it moves on.

So they don't have a very good reason for leaving the forest. The forest has been
under attack for years but now lets leave because im sure they will stop if we
leave.. More like an ostrich with its head in the sand. If we dont see it its not
happening.

You know what one line kinda ruined the movie for me. When they killed the whale
and said this stops human aging and is the only reason why we are on this
planet...What?!! WHat about unobtanium. Or did you really forget that is the only
reason why you are on the planet..or to terraform and kill all the natives was
another reason thrown out there. But its like Cameron completely forgot about
unobtanium, and so did all the humans.

And by the end of the movie we are exactly where we started, Humans are still on
pandora, nothing was solved, nothing was resolved. Why make a movie that has no
point?
",negative
76,"Honestly, I really don't believe the great reviews here. They must be PR people writing
them or people who have never seen good cinema before. I found it disrespectful to have
a repeat of the first film's plot, albeit in a different setting. Not only that, but considering
it was so BORING, and had cringeworthy dialogue, and the effects were overrated, I find
it hard to believe that anyone would bother giving more than 5 stars, let alone seeing the
3rd instalment when it comes out. I certainly won't. I'm giving it 3 stars because I
expected much more from the sequel. It's certainly no Aliens (now there's a great sequel
folks).
",negative
77,"Of course, I struggle with the fact that the film starts when it should end, with an hour-
long battle taken out of a Marvel film, with equally tiresome music.

It doesn't make up for the fact that it's beautiful, and although the CGI is great, I'm
surprised that it's just as bad at explosions. They look cheap. If there was something I
thought Cameron would fix, or at least pay for, it sows believable explosions.
",positive
78,"The strong suit of the first Avatar movie was for sure not the story (the retelling of
Pocahontas in a sci-fi context etc. - my rate for that one is a straight 8), so I did
not expect a sophisticated plot or something substantial, and like expected, the
story is nothing worth to mention or remarkable. Fore sure, The Way of Water is no
bad experience, the effects are fine, the production superb, so I dare to say, if you
liked the first one you will like this one most likely too. All in all I was entertained,
but the trip had some lengthy parts too, some cutting (like in many productions
these days) would have done some magick to the experience of The Way of Water.
Also the sensation of the new style like movies like the first Matrix, Sin City and
Avatar provided is gone - you know what you get. So I gotta confess, here and
there I was slightly bored, and sometimes it was like watching the cinematic to a
(well made) computer game. In my humble opinion, the media mostly does
overpraise this work by James Cameron like they did with the Dune remake by
Denis Villeneuve. Eye-candy? Yes. Cinematic masterpieces? No.
",positive
79,"1 saw the first one which was fantastic. I wasn't sure what to expect given the mix of
ratings but took a risk, The cinema room had about 5% of seats occupied for the film.
One couple left part way though

It became clearer during the film based on the characters and dialogue that the target
audience is young teens and parents.

Something that can be applauded is the creativity of the wildlife animations.

Fight scenes created some excitement but didn't lift the film out of the muddy waters.
The really dull plot spoilt the film and made it very tiresome to watch.

Now I'm wondering how many of the 9 and 10 star ratings are real. It's making me
question my trust in imdb.
",positive
80,"It's a James Cameron film, so it's impressive. The special effects, camerawork,
world-building, and action were all off the charts. But Avatar: The Way of Water
struggles like its predecessor in the story and character development departments.
In fact, the story of The Way of Water is almost identical to the first Avatar. Instead
of humans learning to be Na'vi and then fighting Stephen slang, a family of forest
Na'vi learns to be ocean Na'vi and then fight Stephen Lang. All the strengths and
weaknesses of the first movie are back in this one, with the bonus of being
compared to the original. It really is a visual feast and special effects masterpiece,
but just like the first Avatar, that's all it is.
",positive
81,"The visual effects were great on the actual Navi people. Everything else just looked like a
PSS game. For about 2 hours all you get is Cameron's gloating on how beautiful his VFX
are with absolutely zero story pushed and leaving audiences in limbo. Could have just
watched Nat Geo if i wanted to watch bright lights under water. Complete waste of time.

When the story did start it was a complete duplicate of the first. With the same hardships
and battles. How this movie took 10 years to make is beyond me.

Ive always defended Camerons films but this one is just a let down. With so much money
invested i just cant wrap my head around this.

Would definitely not pay to watch part 3. If you haven't watched part 2...dont. Not worth
it. Wait for the stream.
",positive
82,"More artificial worlds are waiting for the masses. I still can not understand the hype.
There is nothing special about both Avatar movies. They just look like a videogame or
PIXAR movie. They are so successful because they are so simpel, that really everyone
can follow the plot. Switch your brain off and forget everything else. It is just escapism
Some people would watch this 24/7, just to forget the world and themselves. James
Cameron is the master of distraction. This is entertainment for the brainwashed masses.
Their brains really need this silly movie. And of course it is also about the money, lots of

money.
",positive
83,"James Cameron brings the biggest disappointment of the year. Avatar 2 is nothing
but empty beauty.

We start with a hurried introduction to the plot through some narration. Jake is a
happy dude and he's made some kids somehow. None of this is explained well
because apparently it doesn't matter. People are here again and they're evil again,
for reasons. Jake flees to a beautiful water world and we never hear of the forest
world after that. It's probably being destroyed, but who cares about the genocide
of their former tribe? Jake doesn't. His son is touching a whale he shouldn't touch
so that's way more interesting. For some reason humanity sends Miles’ clone after
Jake, spending massive amounts of money to hunt him down even though the
objective was only to stop Jake from creating an uprising, which has already
succeeded. Jake was laying low in hiding but for some reason they hunt him down
still.

For a three hour movie, Avatar 2 feels rushed quite often. Subplots are introduced
or hinted at and then get thrown away without resolve and big plot points feel
rushed, but we do get to spend half an hour watching a completely unnecessary
whalehunt. We're supposed to get attached to Jake's new kids but the only one
that shows some depth of character is the one that gets bullied and punished for it
over and over, even by his own father. It's very hard to feel attached to any of the
characters because they're all shallow husks. Dialogue is absolutely horrendous and
rarely gets any deeper than ""Come on bro, we gotta do this bro, it’s for family bro”.
The overuse of ""bro"" is maddening and brings the already terrible dialogue down to
sub-zero levels. None of the interactions feel natural. Spider as a character is the
epitome of this. He is not only horribly cast but added absolutely nothing to the
plot. All he did was politely ask Miles to stop killing a few times. The character in
this movie that shows the most depth and development is a whale. I'm not kidding.

The ending is extremely lackluster. The new water tribe is just discarded entirely.
There's no big fight where the water tribe helps out their new friends in their cool
watery ways. They join Jake on the ride there and then they just disappear and we
get a rehash of the beginning fight with the same five people we've been watching
for the past two hours doing the same things they've always done. Once again, the
only character saving this fight is that same whale. In the end the new waterworld
setting and all the people in it are nothing but a beautiful background instead of
something that actually plays into the plot and characters.

Is it all bad? No. Avatar 2 looks amazing. The action scenes are stunning and the
water world with all it's majestic creatures is beautiful. But that’s all there is. It's
empty beauty with no substance at all. And to me, that might just be the biggest
disappointment of the year, movie-wise.
",negative
