serial,text,sentiment
36,"I'm probably the only person on earth who had never read Harry Potter. I'm taking seriously Amazon's rating system in which 4 stars means ""I liked it” and 5 stars means ""I loved
it"" | liked it. Harry Potter and the Sorcerer's Stone was a fun read, creative, humorous, more absorbing than I expected. As someone who strongly prefers realism over fantasy, |
thought | might be bored, but | wasn't. | genuinely enjoyed the book, which had good character development and never stopped moving, But | wasn't sorry when the book
ended, and | don't plan to read the others in the series, Fantasy is just not my genre. So now I'm back to reading either historical or contemporary fiction, because | think real life

has a depth to it that fantasy cannot match.
",positive
37,"Disappointing. Too many terms difficult to understand. The story seems well constructed, and the characters mainly sympathetc, But the difficulty wth made-up terms makes it
difficult sometimes to follow comfortably.
",negative
38,"This adventures book is about a young boy who has no knowledge of magic, sorcery, and evil encounters. Harry potter only knows of an abusing life with his selfish and
destructive aunt and uncle, and their repulsive son, Dudley. However, one winters evening harry received a letter brought by a mysterious bleached white owl, that was inviting
him to a remarkable place called Hogwarts. Harry was soon to discover a world he has never known, a world of magical experiences, and things he has only dreamed of. There

he will discover his love for magic, friends, and much more. Harry will now realize his destiny that has been awaiting him, but it will take a lot of strength and courage to
overcome the challenges he will face.

In this book, the experiences were as real as it could get. | felt so intrigued; | felt a connection with this novel. My personal connection to this book was with Harry's best friend,
Ron Weasley. | felt this connection because Ron is Harry's greatest friend and Ron help harry with everything, he would do anything for harry. He was an astounding friend to
everyone. Ron wasn't the most courageous but throughout the book and the series he found his bravery and showed it and became something of himself.
",positive
39,"Absolutely love the Harry Potter series. I've seen the movies and decided to read the books too! Mainly because there's a new book that I'm dying to read but felt | should just
read the whole series first since movies are always different from their books! Love it, love it!
",positive
40,"My niece started reading this book immediately after it arrived. She normally doesn’t like to read, so this was a wonderful surprise. The book is a little advanced for her reading
level, and so she stopped after the first chapter. But she keeps it on her bookshelf to read when her skill level is higher. I'm so happy this book encouraged her to read!
",positive
41,"The book was no where near “good” as described. The pages were torn, crinkled, and dirty. The cover was decent, but still contained lots of damage. | might want to reconsider
buying used books next time and buying them new.
",negative
42,"It came in good condition when it got to my house, but it took about 3 weeks to get here and usually when | buy things it only takes a few days even if its across the U.S
",positive
43,"This is the type of book | find difficult to review. When | read a ""children's"" book, I'm not sure how | should approach it. Do | go in with the mind-set of a child, or do | look at it
from an adult view to examine how effective it is for a child? | usually try to do a little of both, sometimes succeeding, sometimes not.
",positive
44,"I'm the only person on earth who has not read this book. Finally had to give in, I'm enjoying it, pretty good. Still not sure what nerve this ignited for readers. To me, just another
Lord of the Rings. |
",positive
45,"Wanted to see what all the hype was about on this most popular book series, Sorry to say, it really IS for kids ... and I won't be reading any further ""adventures"" of Harry Potter.
Whereas CS Lewis's ""Chronicles of Narnia’ can be read by adults who can get a deeper message, Harry Potter and the Sorcerer's Stone"" is a bunch of rabbit trails and extra
verbiage (I suppose to keep kids entertained as they meander through pages and paragraphs of inconsequential material to the “story’). | know it’s a fun read for kids, but if
you're an adult and you read a lot ... | wouldn't waste my time on this.
",positive
46,"1am not sure how the condition of the book was described, but | was a little to surprised to see that the book was bent and a little crumpled at the bottom. Not a huge deal, and
it must be stated that I got the book for next to nothing, which was great.

| also chose the cheapest shipping option but was a little surprised that book did not arrive for over two weeks and then some.

Anyway we got it now and for cheap. | am hoping my 10-year old grand son will get lost in the book. He loves the movies!
",positive
47,"First of all, I'd like ta say that this has nothing to do with the quality of the writing. I'd just like to complain about Pottermore. I've downloaded the ebooks for all seven novels,
and | had a great deal of trouble transferring the content onto my mother's kindle. They make you jump through a lot of hoops just so they can take your money. Well, I had no
idea just how bad it could be until | bought the electronic version of the audiobook earlier today. I've spent the last six hours on the phone with Mayday, their specialist
department, Audiblebooks, and even Barnes and Noble trying to get it onto my KindleFire, but it was no use. Pottermore claims on its website that it is ""compatible with all
Kindle devices', but it straight up isn't. I'm not impressed with the website, and | wish they'd finally place the ebooks on other websites. Or get some better technology. Until

either happens, | won't have anything to do with them. | just lost an entire afternoon, and | had other plans.
",positive
48,"There has been a lot of fuss about “satanic” elements in the Harry Potter novels, so | was careful to read this book before passing it along to my nephew as a Christmas gift.
Frankly, | didn't find any reason for concern: the book is very much in the tradition of such children's classics as Baum's Oz novels, which have featured witches, sorcerers, goblins
and the like without ever once being accused of satanic overtones.

The major difference between such as the Oz books and Harry Potter is that Ozand others like it--are set in a completely imaginary world, while Harry Potter is not. While this
is probably the very thing that its detractors find most upsetting, it is actually the very thing that makes the book so much fun to read, for its fantasy elements take ona literal
quality that allow for the willing suspension of disbelief in a way not previously seen in books written for children. It is a very sophisticated bit of writing, and I look forward to
reading the other books in the series myself.

These are not, by the way, books written for young children. Most six and seven year olds will be completely out of their depth. They are more appropriate to the ten-year-old
and over crowd, who will have less difficulty reading them on their own.
",positive
49,"After many, many, many shocked faces (and disgusted ones too) when | tell people I've never read (nor seen} Harry Potter, | finally read it. And yes, | plan to continue reading the
series, And, | must say, that | was shocked at the almost.... mature way the story was written, After all, isn't it a children’s book? What I mean is, the shock at the end of the book

| experienced made me realize that the entire time | was reading the story, it was screaming at me the real answer. It was set up like any great psychological story dropping all
the hints | failed to see.

Iwas surprised when | finished the story. After years of never being surprised at psychological endings in books and movies, it was this one that did it to me! How did a children's
book get me?!
",negative
50,"Yes, I'm the girl who had never read Harry Potter, Nor seen a film. What | have done however is absorbed quite a lot without even realising it because as | read it | kept saying
things to myself like ""oh so that's where Hagrid fits in” or ""I knew I'd heard the name Draco Malfoy or “aha! Dangerous Beasts and Where To Find Them!""

It's very hard to assess what | think of the book independent of the hype. I love the way JK Rowling writes (although I prefer her adult books) and I'm in awe of the amount of
thought that went into creating this world with all its complex back stories. | liked the characters a lot. On the downside | found it a bit...well like a kid's book. I got bored in
parts. | didn't really get into the whole wizardry thing. | think part of the problem is that my expectations were too high.
",positive
51,"It took me a long tine to choose reading this first Harry Potter book. My primary hesitation was that it is a children’s book and | wasn’t sure if | wanted to invest the time. I was
also concerned about all the attention to its’ occult references.

Having finished reading it, | can honestly say that this is a really sweet, compelling story and a pleasant read. Rowling has done a fine job of building a story in the Roald Dahl
mode, You know where “certain” adults are simply irredeemably cruel, countered by a truly innocent character. In this case, an innocent Harry Potter is counterbalanced against
his cruel Aunt, Uncle and cousin.
",positive
52,"| have to wonder if a spell was cast for this book to receive all the hype it did. I'm not one to get caught up in hysteria over any type of entertainment and only decided to give
this book a try in the hope it would help one of my children become interested in reading. Hearing over and over that it was so well written and a book that even someone with
a PHd would enjoy made me believe it was a safe bet. This book was very disappointing to say the least. The writing is average and | would love to know where those PHd
readers received their degrees from. The one star rating is in proportion to the hype this book received and the disappointment I felt while reading it. The writing isn’t bad and
the story is entertaining and if | had read it without ever hearing anything about it my rating would be higher and | probably would have enjoyed it a little more. Still, this was a
very easy book to put down and unlike many other books we have read, there were no complaints from my kids, or cries to keep reading when we took a break.
",positive
53,"I had mixed fellings while reading ""Harry Potter"".
On one hand | felt that this is decent fantasy book with exciting action and shallow meaning. On the other hand it felt like some kind of unhealthy mix of C.S. Lewis’ ""Chronicles

of Namia® and Le Guin's ""A Wizard of Earthsea’. If you are familiar with those books i would not recomend ""Harry Potter” to you, it will feel all too familiar, If you are unfamiliar
with the genre of fantasy -- ""Harry Potter"" books will give you a nice intoduction.
",positive
54,"| started to read Harry Potter with great enthusiasm having heard (as we all have} great things about it. It was a surprise to me that this first book is actually rather badly
written, quite boring and surprisingly derivative. It wouldn't take a fantasy fan long to come up with a list of the sources of most of the ideas in the book. How anyone can call it
original is beyond me. Maybe I've just read too much of the much superior source stuff (like Roald Dahl and Terry Pratchett). However | can understand its appeal as its blends
Enid Blyton and Adrian Mole into the cauldron of fantasy ficton and therein lies its only shred of originality. However I've been told the books get better so I'm reserving final

judgement until | complete them all...
",positive
55,"It was just ok. I tried to read the books years ago when they were first coming out and it seemed like everyone was obsessed (my college professor and my husband being two of
those people), but it never kept my interest. This time | listened to the audio version, in hopes it would keep me engaged in the story better.

While the narrator was great, and it was nice to hear how everything was supposed to be pronounced, the story was just ok. I've seen the movies with my husband, and |
couldn't find many discrepancies. They're nearly identical - and | usually prefer any book over its movie adaptation, hands down. | honestly fell asleep every time | tried to listen
to the book, and then had to go back and find where | last listened, the next time | came back to it.

It’s just not my cup of tea | guess. The story and the writing are adequate, but they don't live up to the hype for me.
",positive
56,"It took me over a month to read this book. | have watched all the movies in this series before finally deciding to read the books. But that was not an easy thing to do. The cover
threw me off completely. | don't regret watching the movies before reading the books because if | did it that way, the Harry Potter series would be another series | passed by
solely because of these childish, kiddie covers. But then yet, it is a children's series. | wish the kindle covers were the paperback covers.

Well, | didn't really care for the first movie so maybe that’s why my opinion on the book is the same. | was curious to read it and find out all the things people say the movie
directors and producers left out. But I mostly wanted to read the books to get more Weasley twin scenes. Turns out nothing important was left out and the twins were just

mentioned in passing if they were not seen.
",positive
57,"Henry Snotter, under threat of being held back a grade at the Frogsnitch School of Wizardry for failing last year’s finals, teams with Jemima Grunge and Ron Sneezly to steal the
Blgggrditch Cup from a locked display case to sell on the black market for cheatsheet answers to their upcoming pop quiz in Professor Snifflelick’s class, Casting Poxy Spells.
However, they are chased by a fire-farting dragon named Puffshole, beaten by the foul-smelling incontinent giant Haggard, and locked in an enchanted broom and slop-bucket
closet by the evil Professor Eldritch Snifflelick. They cannot count as usual on the help of their school’s Head Wizard Alkus Stumblebump, because he is sleeping off a squash ale
drunk in the woods with his pants down around his ankles and a pair of fat troll's underwear on his head. Will they escape the stinking Closet of Magic Brooms & Wizard Slops in
time to make their quiz? Or will they be incinerated by a flaming dragon fart?
",negative
58,"In anticipation of the movie, and just in an attempt to keep up with popular culture, | picked up and read the first two books of the Harry Potter series. At first, they seemed
enjoyable, and they definately held my interest. They are obviously children's books, and | am keeping this in mind, but there are two glaring problems with these books:
",negative
59,"Unpleasant opening. Stopped reading there at first. But | felt pressured by others to give it another try. Things pick up a bit after 50 pages but by the halfway point | had again
lost interest, then was again pressured by others insisting how good it is. I started over, making notes of all the problems as I went through. This is a really poorly conceived
""world"" by the standards of the high fantasy genre...pretty much incoherent. Readers are expected to accept things merely because the author says so, even though they don't
feel plausible. About every chapter or two there is something absurd that readers simply have to try to shrug off or ignore. For example, Harry uses an alarm clock to wake
himself up, but then does everything else ""quietly"" so as to sneak around one morning without awakening anyone else. Sorry, but you just used an ALARM CLOCK! The movie
fixed most of the worst howlers, thank goodness, such as the utterly absurd scene with Hermione “inconspicuousty* using magic during a crowded stadium Qidditch match while
bumping into people and knocking a professor down. We're just supposed to accept absurd contrivances and things that make so sense.
",negative
60,"That | am just now reading the Harry Potter series would surprise no one who knows me. I'm usually a good 3-5 years behind trend. Harry Potter has legions of adoring fans and
noted detractors, who are in turn drowned out by the passion of Harry Potter fans. | understood nothing of HP before | read my first book, which was ironically book three:
Harry Potter and the Prisoner of Azkaban. After reading the first book I'm now proud to say that | am a fan, maybe not to the extent that some people are, since I've largely
missed being on the ten year journey of most Potter fans. I'm also living proof that you can still get something out of the books, even if the wave has driven past you.
",positive
61,"| read this book for two reasons. My 13 year old granddaughter asked me to and | wanted to be able to tell every HP fan who asked that | had read one. | have never cared for
fantasy or science fiction so take this review with a grain of salt but | found it pretty forgettable.
",positive
62,"The letters are so small that | am unable to read it to my granddaughter. Also the cover is very flimsy.
",negative
63,"I'm so weary of ""Rowling Can Do No Wrong"" reviews. Whether you liked it or not, you must admit that the names Muggles and Harry Potter were found originally in the works of
“The Legend Of RAH And The Muggles"" and other works by Nancy K Stouffer, | haven't read her book yet, but feel it necessary to share this because of the censorship of truth by
those in power. | have no axe to grind, just a desire for truth.
",positive
64,"I love the Harry Potter books. | have read through the series quite a few times. So | decided to get the books. This book was in great shape. However, on the back, there was not
a background picture, just a blank color. Not a big deal, just kinda disappointing
",positive
65,"| cannot say that loved this book. Long after the Harry Potter hype I wanted to understand what the fuss was all about. | am sure there is some merit to all the madness but for
me it was a slower and drawn out read but only from about the time Harry Potter entered the school of Hogwort academy. Predictably, Harry meets his friends (Hermione and
Ron) whom will soon have to combat some opposing evil forces which may mean either witch's that perform ""dark arts"" or bullies and faculty members.
",negative
66,"If |were twelve, this book would rate five stars. This is because it is a fine children's book, and Rowling must be given credit for constructing the perfect fantasy for a twelve
year-old. Harry is alone, neglected, unloved, and misunderstood; these are feelings that come naturally at that age. Harry's cousin is odious, spoiled, and pampered by his
adoptive aunt and uncle, while he is mistreated terribly, Who among us has not felt at least once that a sibling was favored over us?

But Harry is also something special, as all twelve year-olds want to be. He has special powers, and he is rescued from those who do not appreciate him by a magical fantasy
world where not only are all his needs met, but where he has a great destiny, where even the oldest and wisest know his name and power. Verigeance is exacted on the foolish
“muggles"" in the form of a tail being placed on his fat, spoiled cousin, and the terrible aunt and uncle are humiliated before him by a rescuer who is utterly loyal and
overwhelmingly powerful. Adventure and exciternent follow.
",positive
67,"I'man elderly grandmother and read this because the grandchildren were reading it. | think it is better for young audiences.
",positive
68,"So the book came really fast, which is good since | lost this one from the set. The sad thing, though, was opening the box and finding a mashed corner. Two books were tossed in
the box and absolutely nothing in there with them. It looks more like the book got crunched in the upper left hand comer of the front before it was even in the box. | was
dismayed but it's not enough to bother sending back a paperback. Just a bit disappointing.
",negative
69,"While | was on a bus trip to NYC in November of 2001, only a few months after 9/11 for a college school credit one of the passengers on the bus had the book. So | didn't waste
any of my own money, thank god. | read a few pages and my eyes, along with every other part of my being, refused to attempt any more than that. It was the worst writing |
had come across at the time, | have since come across worse writing that is of course being heralded as an amazon five star as well. | don't understand the type of mind that
could enjoy this, nor do | want to try to be honest. | honestly feel there must be some mind control at play that I'm very immune to.
",positive
70,"Harry Potter and the Sorcerer's Stone is the first book in a series of seven that tells the story of a young boy who is orphaned as a baby when his parents are killed by a dark
wizard who tries to kill Harry too, but Harry survives the attack and all he is left with is a scar on his forehead that identifies him as the only living wizard known to be able to
survive Voldemort. After the attack as a baby is sent to live with his human or ""muggle"" relatives where for ten years, he is never told he is a wizard; and he receives harsh and
cold treatment from them because they desperately want to fit into the ""normal"" world and Harry is anything but ordinary.
",negative
71,"Really? Compared to everything else out there, this book just isn't that great. Granted I'm not in second grade but there are so many better stories and way better writers. If it
keeps your kids reading - great. But if they really want good books you should be steering them to better books.

If the Never-ending Story and the Phantom Tollbooth are 5's this book is not even close.
",positive
72,"Harry Potter might be a great book for children. But I'm not a child and | won't judge it on that basis, and since so many adults have read it as book for adults. I just don't get the
fuss. And it’s not as though | don't like fantasy. | loved The Lord of the Rings, The Chronicles of Thomas Covenant, The Neverending Story, The Chroniclers of Narnia and my
other fantasies. It might be just a small matter, but since such a big fuss is made about Quiditch, or whatever it's called, then take a little time to come up with a scoring system
that makes sense. All the other players on the team are flying around and trying to score points. But their points mean absolutely nothing. The only point of the game was Harry
versus his rival, All the other players on both teams were irrelevant. How stupid can you get? That said, | actually did enjoy the movies, though they don't come close to The Lord

of the Rings.
",negative
73,"I missed the fad. The mania known as Harry Potter. A coworker couldn't believe | hadn't read any of the Harry Potter books (he told me it is his favorite book series ever outside
of Tolkien) and convinced me to pick up the first one. He did warn me that the first 2 are much more kid friendly and that the 3rd one is where it starts to bring in some of the
darkness and more adult themes that make up the latter books.
",positive
74,"| have learned to not purchase a used book anymore. | believe my standards of what a good used book is and others are different and that is okay. | am not unhappy with this
seller, | have just learned my lesson in purchasing a used book, Not the sellers! fault. | have no problems with the seller. They did try to replace the first one, and when the
second one still wasn't good in my opinion, | knew it wasn't their fault. Thank You Seller for trying.
",positive
