serial,text,sentiment
35,"| bought this straightener 2 months ago and was waiting to write a review so | could test it out longer. | uploaded a picture of my natural air dried hair as well and another after |
straightened it and one when I flipped the straightener while using it to create soft curls. My natural hair is curly and frizzy, so | first use a blow dry brush from revlon with my
hair products and then | use this after my hair is dry. With my hair type | feel like | get the best result that way. | really like this straightener and have owned chi irons before this
and | feel like it is similar, if not a bit better. And this is cheaper so if | can find something that works the same as another product, then I'm all for it! | also flip the iron while
running it through my hair to give it soft curls. This doesn’t have a temperature display, it’s just a dial but that doesn’t bother me cause there’s not an exact temperature |
normally use on my hair. | usually set mine to around 400 because of my hair type and | feel like it smooths out the frizz better that way. (Always use a heat protectant of
course}. | wish that this one had automatic shut off, cause I have accidentally left it on the whole day on top of my wood table. It didn’t burn anything though fortunately and
nothing smelled burt when I came back home. Now | am ordering a heat resistant mat to prevent any disasters from happening, Haven't noticed any damage since I've been
using this and | feel like it does make my hair look more shiny after | use it. Also make sure to register your iron with the card that comes inside the box, to validate the warranty.
",positive
36,"At high temperatures, this straightener is pretty great. My bangs get straight in no time, and stay that way for at least a day. There's no frizz and my hair doesn't ever get caught,
which was a big must for me. However, it still takes ages to get the rest of it straight, and the wavier parts by my crown don't get straight no matter what. And forget about

using this at a lower temperature setting - nothing happens unless it's more than 3/4 of the way to the maximum. But that being said, it was cheap and it works to straighten
my bangs.

| do wonder about the product's authenticity - the sticker warning attached to the outlet plug has some ungrammatical English - ""If it does not turn on. Press firmly on reset
button"". I would expect that a real $200 straightener would pay closer attention to its labels. Also, while the box has a picture of a small glass jar of Argan oil, what was actually
contained in the box was a one-use sealed pouch. So that was a bit disappointing, although many of the reviewers said they'd found the same thing. So for $40 this was a good
purchase, but I'm sure there are much better straighteners out there. This one hasn't revolutionized my life or anything like the positive reviews made me think it would.
",positive
37,"This is a great flat iron. It straightens my, thick, relaxed hair in “one pass*...on medium temp. | don't have to ""stall"" the iron on my hair. Just one quick pass and my hair is straight.
This baby gets hot. If | used on the high setting, my hair would be scorched, but for super thick or extremely curly natural textured hair this flat iron will get hair straight quickly
and efficiently on the higher settings.

The temperature control knob/on-off button are located inside of this flat iron. The temperature control knob doesn’t have numeric temperature markings, except at the highest
and lowest settings, but it is easy to gauge the temperature ranges best suited for your hair type. For first time users, | would recommend starting at the low temp and gradually
increasing to temperature best suited for your hair type.
",positive
38,"When | am going to buy a product, | always make sure | do my research first. | keep careful and detailed accounts of the pros and cons of each specific product | look at, and |
continue to refer to my lists until | have narrowed my choices down to what | believe to be the best products for the best value. In this case, the HSI Professional straightener
won in each and every category | was researching. When the straightener came in the mail a few days after | ordered it, | was extremely excited to try it out. It came with a knit-
glove, a silk carrying case, and a trial-sized bottle of argon oil - something | had never tried before, but soon fell in love with. I also was not disappointed when it came to the
straightener itself. The conclusion I came to after my research rang true - this straightener worked even better than | was expecting. To be honest, I'd never used any kind of
styling tool on my hair before, so | was a little nervous about using it for the first time, but those fears were unfounded. This tool could not be easier to use. It has a swivel cord,
so it doesn't get tangled up with your hands as you're using it, which definitely cuts back on the time it takes to style your hair. The heat setting ranges from 140 degrees F to
400 degrees F, giving you control over how much heat you are applying to your hair and making this the perfect tool for all hair types. I have very long, very thick hair, so |
generally turn the heat up all the way and can finish styling in about ten-fifteen minutes. You have every right to be impressed by that; | know I was, My hair has never looked
better - it’s controlled, it’s smooth, it's silky...1 had been thinking about just chopping my hair off because of how unmanageable it had become, but thanks to my HSI Ino longer
have to. The plates are ceramic and do not extend, something | personally prefer, because | feel it makes it easier to style your hair when the plates dor't slide up and down as
you're working. I'm also impressed by how cool the tool stays - the handle doesn't get hot at all. | use the glove provided on the hand that’s going to touch my hair, because for
the first couple minutes after running the straighter through, your hair will maintain the temperature of the plates.
",positive
39,"This will get your hair STRAIGHT. Be CAREFUL. It does not have numbers that tell you how hot it is so you have to eyeball the dial. | used it on the highest setting and of course,
my hair was laid!! BUT the front of my hair got heat damaged. | used heat protectant. The rest of my head reverted back to normal. This may have been because | retouched the
front a few times in between washes as well to style or “flip"" my hair, I wore my hair straight for about 3 months flat ironing every two weeks and only suffered heat damage in
the front. | think if you are more careful about the temperature you should be fine. This is the first at home iron that gave me salon results like the ones you see on Instagram
",negative
40,"The heat knob has 2 settings #'s: 160 & 450 degree. U have to guess the heat setting in between the 2. | don't like putting heat above 360 on my hair but could not tell if I was
above or below that number. It's hot. And at 450 was great on hair weave.
",positive
41,"Iwas excited about ordering this straightener after reading all the amazing reviews, and that it is dual voltage.

However, upon its first uses, | was not impressed by it knowing that my previous Remington straightener had cost half the price and given me similar resutts. So after over 5
months of having it and barely using it, | decided to look at the reviews on here to see if someone had had the same problem. A costumer wrote a review that she believed she
had received a defective one, contacted HSI and gotten a replacement and was very satisfied with the new one.
",positive
42,"As | was shopping for an iron online | was looking for a temp of 450 degrees. It says online that it heats to 450, it also says in the instruction booklet that it heats to 450. On the
back of the box it says that it heats up to 400. It only has a dial and doesn’t show the actual temp. My hair is super thick so I wanted highest heat, my old iron got up to 410. |
used this one and it doesn't seem to get as hot, | was expecting hotter. I've started a return because | didn’t notice the temp on the box before | used it. Disappointed.
",positive
43,"To begin let me explain my awful experience finding a decent straightener that makes this one so great. First, | purchased the instyler, expecting by the price and things I have
heard about it that it would be amazing. It was not. It took ages and wouldn't get close to my head. It was mediocre, especially for over a hundred bucks. | returned that, and

went to my local walmart to get a chi! | always hear chis are AMAZING. Nope. My hair is evil. It is the definition of thick, frizzy, wavy, curly hair. lam lucky when I can brush it. 'm
like a chia pet or something. The chi stood no chance.
",positive
44,"The dual voltage is really dual voltage. | say that because | purchased a dual voltage hairbrush dryer/styler for the same trip to the UK, and it overheated quickly. Thank
goodness this tool didn't give me any issues. This flat iron works extremely well. No fly aways, no frizz. I was actually surprised with the low cost that it did as well as my
expensive daily one | use at home. Would recommend.
",positive
45,"Reviews on this were overall pretty good. I needed a new flat iron mostly cause the plates on my old one were pretty worn. The plates on this one were good, and hair slid
through easily, But on max temp, it still wasn’t warm enough for me. | have thinner brown hair, slightly wavy and it didn't do the job unless | ysed tiny hair pieces. If your hair can
straighten on a medium to low heat, it may be just fine for you, but not for me. The controls ate Nasir, just on/off switch snd a knob for temp control. No numbers/guide to
know what heat setting it is at, no light indicator that the tool is on, no safety turn off/auto off switch. For me I had to return it and go back to looking.
",positive
46,"this flat iron is the great product. | did not give a 5 star review was because there is no display or indicator for the temperature you are setting to, you have to guess it. Other
than that, it is a great production, the ceramic plates make my hair very smooth, and it's light weighted, very easy to use. Plus it comes with a travel pouch and glove to protect
your hand from the heat.
",positive
47,"| do like this hair straightener and hope it lasts longer than 2 years. It heats up fast and does a good job on my hair. The reason it lost a star is because it doesn't have automatic
shut off and honestly if | would have known that it didn’t | would have bought a different brand. Just the peace of mind knowing it will turn off if | forgot to is huge. I forgot the
other day and it was on for almost 5 hrs before | noticed it.
",positive
48,"Wasn't sure whether to choose 3 or 4 stars. This straightener is not bad, but it's definitely no professional styler. You do seern to get what you pay for in *most” cases. | decided
to purchase this one on Amazon after reading reviews. | wanted to see if a cheaper flat iron could do the job okay. I'd previously had a T3 and a Chi from ebay. The T3 worked
really well. I'm not sure if it was legit or not, but I don't think it was b/c when I sent in the warranty card it came back as undeliverable. The problem with the T3 was that the
hinge was really weak and kept breaking. | gorilla glued it 3 times, but after the 4th it just wouldn't hold anymore. The Chi worked decently as well, but definitely was not legit.
After those experiences with ebay and not being able to afford full price for a legit straightener | chose this one.

It works better on my hair when I've let it air dry for some reason. | don't really like the edges that grip b/c it feels like it's damaging my hair. The nice part about the gripping

edges is that the hair doesn't slip out easily as it did with the T3. I pretty much had to put the HSI on the hottest setting to straighten my hair, but it still wasn't as good as the
T3 in getting nice, sleek tresses.
",positive
49,"I just keep touching it!! My HSI professional straightener just arrived this morning. I have a cheapo flat iron that | use infrequently due to the amount of damage it does to my
hair, My hair is fine but prolific and naturally curly. One of the things I noticed right away with the HSI is that there was no hair on the floor after I straightened (with my old iron
there was a LOT of hair afterward). This makes me happy.
",positive
50,"Heats up fast is one of the best features. Occasionally it clips my fingers ouch. | wish there was a lock to keep the wand part shut when riot in use like more expensive models
instead just a piece of plastic wrap that will eventually rip. The part that heats up to straighten hair seems a little narrow, it could be a little wider but this is the first time using a
flat iron.
",positive
51,"After 12 1/2 years with my previous straightener it died! | was so sad and did a lot of research on what's out there now. | saw all of the glowing reviews and was skeptical but
thought for the price it was worth a shot. It heated up quickly like my previous one which | love (forever running late over here!) it glides through my hair quickly and smoothly
without snagging (another must have feature for me!) | loved that my hair didn’t feel or look fried after! It stayed straight! | went to the beach, it was about 84 | rode rides my
hair was flowing! | woke up the next morning expecting to be puff daddy's distance cousin with fluffy hair, ran my brush through it and BAM! It was still straight! The last picture
is the one | snapped to send my sister! We couldn't believe it!! She ordered one right then and there!

So far I've used it three times and each time has been perfect!
",positive
52,"This is my first ""real"" flat iron (I've only had a mini flat iron before) and | have to say that it's a great product! I've tried a ghd, which IS a hundred times better than this, but also
WAY more expensive. For the money, | think this is the best of the best.

First, I'll start out with the things I loved about this product. | like that it has a quilted texture, making it easier to grip when styling. The swivel cord is also quite useful. | like that
you can easily adjust the temperature. It heats up pretty fast, and has a nice indicator light that tells you when the iron has gotten to your desired temperature. As for the actual
styling, it does a good job, but not amazing. | naturally have quite straight, thin-ish hair (it just gets sort of wavy near the ends) so it straightens very easily on me (but only on
the highest heat setting; | do use heat protectant}. However, when my mom (who has thicker, coarser, and more unruly hair than | do) tried it, it didn't do basically anything to
make her hair straighter, and it was on the highest temp. Another thing | don't like are the size and quality of the plates. They don't really seem like real or high-quality ceramic,
and are on the shortish side. And speaking of quality, overall it isn't top notch in terms of outward appearance. It looks even worse than a $20 flat iron; it has some small
scratches and scuffs and the plastic it's made of doesn't seem like the best quality.
",positive
53,"| purchased this a year ago based on the very high number of reviews combined with high ratings. | wasn't impressed from the start, but thought to give it a chance since so
many others were extremely satisfied with it, | do have rather thick and wavy hair, but not overly so. The things I'm disappointed with are that the temperature control is difficult
to see and maneuver. The temperature doesn't seem to get hot enough. It doesn't feel particularly smooth passing over my hair. It doesn’t have an automatic shut-off. So | made
do. but now I'm looking to purchase something else. I'm glad so many others were happy with the choice, but | will have to look for another brand.
",positive
54,"I've used it and so far my hair feels so silky after using it, it does get really hot and it’s so nice that there is a glove included so you don't burn yourself.
",positive
55,"“This was a 5 star review from my first week*: This straightener works well, a little less heat then my previous one, but at least it doesnt pull out myhair! Was nice that the seller
included a bottle of oil for my hair.

“UPDATE™*

So, | had a lonika before I purchased this one. | owned it for 3 years! So, it was time to get another. (Note: I straighten my hair EVERY DAY, at night with a Remington Wet -
Straight and then in the morning with a ceramic to get the fly away's... so it it's used) I read my reviews, was going to go for the same but as | am a religious Amazon-er | figured
| couldn't go wrong with this so | ordered...

It was great the fist week, then | noticed my hair getting stuck in the sides where the plates attach.
",positive
56,"Ihave not had any relaxers or anything in my hair for years, so | have come to love my natural look and curls. However, this past summer, | wanted to try a new look so | decided
to straighten my hair, It's been a few years since | put any heat to my hair, so it was important for me to find the right product. That is when | found the HSI Professional Glider
on Amazon. The reviews were great and after doing some research, | finally decided to purchase the HSI. My flat iron arrived pretty quickly. It also came with the Aragon oil, a
glove and a cute little travel bag.

Overall, | am very satisfied with my purchase. You can adjust the temperature on the HSI and it did a good job in straightening my hair, The first time | used it, | was amazed on
how full and healthy my hair looked, Although it wasn't bone straight, | loved how natural, full and thick my hair looked. It also had some bounce to it. The second time | used it,
| don't know if my hair was getting adjusted to it (or if | had the Midas touch that day), but it came out so straight. My hair doesn't usually hold hairstyles too long, but | was able
to rock it a few days. Although | don''t like putting heat to my hair too often, when | do now, | definitely use my new HSI flat iron.
",positive
57,"Ihave owned 3 of these... The first two was purchased through HSI... They had the digital reading, after the first yr it would cool down to nothing while using... HSI had GREAT
customer service & had me send it back (no charge to me) & sent a new one as soon as they had confirmation it was sent... The replace they sent done the samething after 2 yrs..
| should state | don't use them but once a week IF THAT... | will say while they are working they are great... Let's not forget the price here... That's great as well.. The one |
purchased from Amazon has done great so far. Although this one does NOT have digital temp settings, whatever... Since | don't use a lot or often the HSI with its great CS will
do just fine for me.. So if your looking for something cheaper but good or for vacation use, then buy this one.. If your looking into LONG TERM & USING A LOT then move on. |

have mediurm/thick & course hair..
",positive
58,"This is the 2nd one a got, and it’s just beautiful the way it leave my hair, | have long straight hair but with lot of frizz and babies hairs. | try so many professional and no
professional brands and THIS IS THE ONLY ONE that gives me professional results, | don't need to pass it many times or put it on a high temperature for it to work wonderfully
for me. Actually my first one of this, my very curly hair friend tried it and fett in love and she kept it.
",positive
